vector_id,timestamp,creation,analysis,perception,emotion,social,logic,memory,reflection,dominant_dimension,description
pv_001,2024-01-15T10:00:00,0.8,0.4,0.6,0.7,0.3,0.4,0.5,0.5,CREATION,创意写作模式
pv_002,2024-01-15T11:00:00,0.3,0.9,0.5,0.2,0.3,0.9,0.7,0.8,ANALYSIS,代码分析模式
pv_003,2024-01-15T14:00:00,0.5,0.5,0.9,0.6,0.5,0.5,0.5,0.5,BALANCED,观察体验模式
pv_004,2024-01-16T09:00:00,0.9,0.3,0.4,0.8,0.5,0.3,0.6,0.4,CREATION,灵感迸发模式
pv_005,2024-01-16T15:00:00,0.4,0.8,0.5,0.3,0.4,0.8,0.6,0.7,LOGIC,逻辑推理模式
pv_006,2024-01-17T10:30:00,0.5,0.6,0.7,0.9,0.6,0.4,0.5,0.6,EMOTION,情感交流模式
pv_007,2024-01-17T16:00:00,0.4,0.5,0.6,0.5,0.9,0.4,0.5,0.4,SOCIAL,团队协作模式
pv_008,2024-01-18T11:00:00,0.5,0.7,0.5,0.4,0.4,0.6,0.8,0.9,REFLECTION,深度反思模式
pv_009,2024-01-18T14:00:00,0.7,0.6,0.6,0.7,0.4,0.5,0.7,0.6,CREATION,艺术创作模式
pv_010,2024-01-19T09:30:00,0.3,0.8,0.4,0.2,0.3,0.9,0.7,0.7,ANALYSIS,技术研究模式
pv_default_creative,2024-01-01T00:00:00,0.8,0.4,0.6,0.7,0.3,0.4,0.5,0.5,CREATION,默认创造相位
pv_default_analytical,2024-01-01T00:00:00,0.3,0.9,0.5,0.2,0.3,0.9,0.7,0.8,ANALYSIS,默认分析相位
pv_default_balanced,2024-01-01T00:00:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,BALANCED,默认平衡相位
pv_default_emotional,2024-01-01T00:00:00,0.5,0.3,0.7,0.9,0.6,0.2,0.6,0.4,EMOTION,默认情感相位
pv_default_logical,2024-01-01T00:00:00,0.4,0.8,0.5,0.2,0.3,0.9,0.5,0.7,LOGIC,默认逻辑相位
pv_default_social,2024-01-01T00:00:00,0.5,0.4,0.6,0.6,0.9,0.4,0.5,0.4,SOCIAL,默认社交相位
pv_default_reflective,2024-01-01T00:00:00,0.5,0.6,0.5,0.4,0.4,0.6,0.7,0.9,REFLECTION,默认反思相位
