edge_id,source_node,target_node,edge_type,weight,channel_overlap,temporal_proximity,spatial_proximity,emotional_similarity,description
edge_001,mp_001,mp_002,associative,0.72,0.6,0.85,0.9,0.7,花园场景联想
edge_002,mp_001,mp_003,associative,0.58,0.4,0.7,0.8,0.6,玫瑰与香味关联
edge_003,mp_002,mp_004,causal,0.85,0.8,0.9,1.0,0.9,看到后产生愉悦
edge_004,mp_003,mp_005,temporal,0.65,0.5,0.8,0.7,0.6,时间邻近记忆
edge_005,mp_004,mp_006,spatial,0.78,0.6,0.7,1.0,0.8,空间相同场景
edge_006,mp_005,mp_007,emotional,0.82,0.7,0.6,0.5,1.0,情感共鸣连接
edge_007,mp_006,mp_008,associative,0.69,0.5,0.8,0.6,0.7,语义相似关联
edge_008,mp_007,mp_009,causal,0.75,0.6,0.9,0.8,0.8,因果关系链
edge_009,mp_008,mp_010,temporal,0.62,0.4,0.7,0.9,0.5,时间序列连接
edge_010,mp_009,mp_011,spatial,0.71,0.5,0.6,1.0,0.7,空间位置关联
edge_011,mp_010,mp_012,emotional,0.68,0.6,0.8,0.5,0.9,情感色彩关联
edge_012,mp_011,mp_013,associative,0.74,0.7,0.7,0.6,0.8,内容相似连接
edge_013,mp_012,mp_014,causal,0.81,0.6,0.9,0.7,0.9,逻辑推理链条
edge_014,mp_013,mp_015,temporal,0.59,0.4,0.6,0.8,0.6,时间接近记忆
edge_015,mp_014,mp_016,associative,0.76,0.6,0.8,0.7,0.7,主题相关连接
edge_016,mp_015,mp_017,spatial,0.63,0.5,0.7,0.9,0.5,地点相同关联
edge_017,mp_016,mp_018,emotional,0.70,0.5,0.6,0.6,1.0,情感一致连接
edge_018,mp_017,mp_019,causal,0.77,0.6,0.9,0.8,0.8,因果推理关联
edge_019,mp_018,mp_020,temporal,0.64,0.4,0.8,0.7,0.6,时间序列记忆
edge_020,mp_019,mp_021,associative,0.73,0.7,0.7,0.6,0.9,内容相似关联
edge_021,mp_020,mp_022,spatial,0.66,0.5,0.6,1.0,0.7,空间位置关联
edge_022,mp_021,mp_023,emotional,0.79,0.6,0.8,0.7,0.9,情感共鸣连接
edge_023,mp_022,mp_024,causal,0.71,0.5,0.9,0.8,0.7,因果链条
edge_024,mp_023,mp_025,temporal,0.60,0.4,0.7,0.6,0.6,时间邻近
edge_025,mp_024,mp_026,associative,0.75,0.6,0.8,0.7,0.8,语义关联
edge_026,mp_025,mp_027,spatial,0.67,0.5,0.6,1.0,0.6,空间相同
edge_027,mp_026,mp_028,emotional,0.72,0.5,0.7,0.6,0.9,情感连接
edge_028,mp_027,mp_028,causal,0.68,0.6,0.8,0.5,0.8,因果关联
